titre,date,presentateurs,chaines,description,slug,catégiorie,exclu play,,,,,,,,,,,,,,
Elections USA,Le 6 novembre,"Justine Pons,Mathieu Col","tvi,play,info",Les équipes de RTL info seront en direct des États-Unis pour suivre les élections américaines. Qui deviendra le 47e président des États-Unis ? Rendez-vous le 6 novembre sur RTL info pour le découvrir. ,,info,,,,,,,,,,,,,,,
48h Bourgmestres,,"Caroline Fontenoy,Martin Buxant,Christophe Deborsu","tvi,play,info","Caroline Fontenoy, Martin Buxant et Christophe Deborsu vous proposent de découvrir le bilan des six années de mandat des bourgmestres wallons et bruxellois à travers une série d'interviews exclusives. Ils vont à la rencontre des 270 bourgmestres de Wallonie et des 19 bourgmestres de Bruxelles. Retrouvez ces interviews en direct ou en streaming sur l’app RTL info et RTL play. ",caro,info,,,,,,,,,,,,,,,
Le Pape en Belgique,,,"tvi,play,info","Événement mondial en Belgique, le Pape sera en visite dans notre pays du 27 au 29 septembre. Pendant ces trois jours, riches en rendez-vous, RTL info couvrira chaque moment de cette visite historique. Suivez l’intégralité de la visite en direct lors de deux éditions spéciales, samedi et dimanche de 9h30 à 13h, avec des analyses approfondies de notre spécialiste Christophe Giltay et des invités.",pape,info,,,,,,,,,,,,,,,
"Marc Dutroux, un homme libre",,Julie Denayer,"tvi,play,info","À l’occasion du 20e anniversaire de l'un des procès les plus marquants et médiatisés de l'histoire criminelle belge, ce docu-fiction examine une question controversée : à quoi ressemblerait la vie de Marc Dutroux en cas de libération anticipée ? Un document controversé et hautement sensible qui pose de très nombreuses interrogations sur la réinsertion dans notre pays et au sein de notre société. A l’aide de témoins directs, nous essayerons de comprendre pourquoi Dutroux ne pourra jamais sortir de prison…   ",dutroux,crime,,,,,,,,,,,,,,,
Dans le vestiaire,,"Vincenzo Ciuro,Anne Ruwet","club,play,bel,sports","Anne Ruwet et Vincenzo Ciuro vous ouvrent les portes du vestiaire de RTL sports. Chaque semaine, ils sont accompagnés d’une équipe de choc composée de Marc Delire, Silvio Proto, Kevin Sauvage mais aussi des consultants RTL sports et des invités de renom.  

""Dans le vestiaire"" propose un débriefing des matchs, des analyses et des débats autour du football belge. Coups de cœur, coups de gueule, avis tranchés : nos experts n’auront pas leur langue en poche.  

Cette saison s’annonce passionnante : Anderlecht remportera-t-il enfin son 35e titre de champion ? L’Union Saint-Gilloise décrochera-t-elle le graal ? Le Standard et Charleroi seront-ils au rendez-vous après une saison décevante ?  

Vous l'avez compris, Dans le vestiaire on vous dit tout sur le championnat de Belgique ! ",dlv,sports,,,,,,,,,,,,,,,
Ligue des Nations,"- Vendredi 6/9 : BELGIQUE-ISRAËL dès 20h sur RTL club puis à 20h25 sur RTL tvi 

- Lundi 9/9 : FRANCE-BELGIQUE dès 20h sur RTL club puis à 20h25 sur RTL tvi 

- Jeudi 10/10 : ITALIE-BELGIQUE dès 20h sur RTL club puis à 20h25 sur RTL tvi 

- Lundi 14/10 : BELGIQUE-FRANCE dès 20h sur RTL club puis à 20h25 sur RTL tvi 

- Jeudi 14/11 : BELGIQUE-ITALIE dès 20h sur RTL club puis à 20h25 sur RTL tvi 

- Dimanche 17/11 : ISRAËL-BELGIQUE dès 20h sur RTL club puis à 20h25 sur RTL tvi ",,"tvi,play,sports","La Ligue des Nations revient bientôt sur nos antennes avec RTL sports ! Ne manquez pas l'occasion de suivre les performances de nos Diables Rouges. La Belgique affrontera Israël, mais surtout deux géants du football européen : la France et l'Italie. Après la victoire de l'Espagne cette année, la prochaine édition s'annonce encore plus riche en émotions.  ",nations,sports,,,,,,,,,,,,,,,
Ligue des Champions,,,"club,play,sports","Des barrages fin août jusqu’à la finale à Munich, l’ensemble de la Ligue des champions 2024-25 sera à suivre avec RTL sports ! Tirage au sort, saison régulière, phase finale… Pour sa 70e édition, l’UEFA a décidé d’offrir une toute nouvelle formule à la Ligue des champions. La compétition accueillera maintenant 36 équipes, contre 32 précédemment. À cela s’ajoute la saison régulière, qui offrira des affiches chocs dès le mois de septembre. ",ldc,sports,,,,,,,,,,,,,,,
Tour of Britain,Du 3 au 8 septembre,,"club,play,sports","Du 3 au 8 septembre, les coureurs traverseront de nombreuses villes du Royaume-Uni. Cette 16e édition s'annonce particulièrement exigeante. Les concurrents, dont le belge Remco Evenepoel, partiront de Glasgow et termineront à Londres, comme lors des éditions précédentes. Cette année, le parcours couvrira 1308,5 km. Malgré une augmentation des étapes de montagne, certains participants estiment que le parcours ne sera pas beaucoup plus facile que celui de l'année dernière. En revanche, les deux dernières étapes seront relativement plates, offrant un contraste avec le reste du parcours majoritairement vallonné. ",britain,sports,,,,,,,,,,,,,,,
Grand Prix de Wallonie,Le 18 septembre,,"club,play,sports","Le 18 septembre 2024, le Grand Prix de Wallonie partira de Beaufays pour atteindre Namur, traversant les paysages vallonnés et les difficiles ascensions des Ardennes. Cette course incontournable du calendrier belge, intégrée à l'UCI ProSeries, propose aux coureurs une compétition intense sur 205,5 kilomètres. RTL sports sera sur place pour couvrir la course en direct avec son émission ""Dans le peloton"". ",gp-wallonie,sports,,,,,,,,,,,,,,,
SUPER 8 Classic,,,"club,play,sports","Pour les véritables passionnés de cyclisme, la SUPER 8 Classic n’a plus besoin de présentation. Cet hommage aux légendaires cyclistes Raymond Impanis et Peter Van Petegem est depuis des années un événement incontournable pour les amateurs de sprint... et de bière.  ",super8,sports,,,,,,,,,,,,,,,
Flanders Darts Trophy,,"Marc Delire,Alex Vizorek, Tanguy Borra,Antoni Coppi","play,sports","Le Flanders Darts Trophy se déroulera à Anvers en septembre 2024. Cet événement fait partie du PDC European Tour et sera le deuxième tournoi de cette série à se tenir sur le sol belge, aux côtés de l'Open de Fléchettes belge Blåkläder à Wieze.  

Les passionnés de fléchettes Marc Delire et Alex Vizorek, accompagnés de Tanguy Borra et Antoni Coppi, apporteront leur expertise aux commentaires pour RTL sports. 

Le tournoi aura lieu à l'Antwerp Expo, l'un des plus grands lieux d'événements de la ville glamour d'Anvers. Il se déroulera sur trois jours, et les 16 meilleurs joueurs du classement PDC sont automatiquement qualifiés pour participer à cet événement.  ",darts,sports,v,,,,,,,,,,,,,,
Championnat du Monde de Fléchettes,Du 13 décembre au 3 janvier,"Marc Delire,Alex Vizorek, Tanguy Borra,Antoni Coppi","play,sports","Pour la seconde fois en Belgique francophone, RTL sports diffusera le Championnat du Monde de Fléchettes du 13 décembre au 3 janvier ! Les meilleurs joueurs belges et internationaux s'affronteront pour décrocher le titre le plus prestigieux de la discipline, remporté par Luke Humphries en début d'année 2024.  

Le Championnat sera à nouveau commenté par un duo de choc composé d'Alex Vizorek et de Marc Delire, qui nourrissent une passion incroyable pour ce sport si particulier. ",darts-world,sports,v,,,,,,,,,,,,,,
ATP 250 Anvers,Du 13 au 20 octobre,,"club,play,sports","Du 13 au 20 octobre, vivez l'European Open au Lotto Arena avec RTL sports. Ce prestigieux tournoi de tennis ATP 250, le seul de ce niveau en Belgique, attire les meilleurs joueurs du monde entier pour une semaine de tennis de haut niveau. ",atp,sports,,,,,,,,,,,,,,,
Crocky Cup,,,"club,play,sports","Parmi les équipes en lice, on retrouvera des noms prestigieux comme Anderlecht, le Club Brugge, le Standard de Liège, ainsi que l'Union Saint-Gilloise, vainqueur de la dernière édition. À l'issue de la compétition, le vainqueur se verra automatiquement qualifié pour l'Europa League. ",crocky,sports,,,,,,,,,,,,,,,
Cyclo-Cross,,,sports,"Pour la deuxième année consécutive, RTL sports diffusera 7 manches de Cyclocross Exact Cross/X2O. Les compétitions féminines et masculines seront diffusées en décembre et janvier sur nos antennes. ",cyclo,sports,,,,,,,,,,,,,,,
La nuit se traîne,,"Romain Duris,Mustii,Jonas Bloquet,Sam Louwyck ",,"RTL Belgium est heureux de participer en tant que co-producteur à cette nouvelle aventure cinématographique. ""La nuit se traîne"", un thriller captivant, tourné entièrement à Bruxelles, marque les débuts prometteurs du réalisateur belge Michiel Blanchart.  
 
Déjà récompensé par le Prix du public lors de son ouverture au Biarritz Film Festival – Nouvelles Vagues, ""La nuit se traîne"" confirme le talent incontestable de Michiel Blanchart. 

Synopsis : Cette nuit est comme toutes les autres pour Mady, étudiant le jour, serrurier la nuit. Mais Claire, l'énigmatique jeune fille qu'il aide ce soir-là, n'est pas celle qu'elle prétend être. Mady n'a qu'une nuit pour prouver son innocence. ",lanuitsetraine,coprod,,,,,,,,,,,,,,,
Le Good Morning,,"Maria del Rio,Olivier Arnould,Valentino Palumbo,Gary Moonen ",contact,"Chaque matin de 6h à 10h, réveillez-vous du bon pied avec Maria, Olivier, Gary et Valentino. Au programme : délires en direct, superbes cadeaux, vos jeux favoris, les meilleurs hits feel good et toutes vos séquences préférées pour bien démarrer la journée. ",gm,radio-contact,,,,,,,,,,,,,,,
Le 15/19,,"David Antoine,Lucile Rochelet,Thibaut Fassuleto,Max Nihoul ",contact,"Tous les jours de 15h à 19h, embarquez avec David et sa bande pour un retour à la maison plein de rires et de bonne humeur. Leur objectif ? Vous faire sourire et vous divertir ! Avec David, Thibaut, Lucile et Max, découvrez les actus et les buzz qui font le tour du web, de quoi pimenter vos conversations autour de la machine à café.  ",1519,radio-contact,,,,,,,,,,,,,,,
Contact DJ's,,"Henri PFR,Lost Frequencies,Maya Cox,Simon B",contact,"Tous les vendredis et samedis de 21h à 1h, 4 DJ’s prennent les commandes de Radio Contact. Cette saison, Maya Cox et Simon B rejoignent Lost Frequencies et Henry PFR aux platines pour enflammer vos soirées. ",,radio-contact,,,,,,,,,,,,,,,
Les apéros du Good Morning,"Retrouvez-les à ces dates, de 13h à 15h : 

- 28/08 : Parc d’Enée, Gembloux 
- 04/09 : Hydrion, Arlon 
- 11/09 : Ville de Ciney 
- 18/09 : Ville de Waremme 
- 25/09 : Les Dauphins, Mouscron ",,,"Pour bien débuter cette nouvelle saison, le Good Morning part à la rencontre de ses auditeurs ! L’occasion de rencontrer Maria, Olivier, Gary et Valentino autour d’un bon apéro et de partager un moment bien Feel Good. 

Cette année, un grand concours sera organisé afin de gagner un voyage en Corse ! ",apero,radio-contact,,,,,,,,,,,,,,,
La Soirée de Tonton,Le 27 septembre au WEX de Marche-en-Famenne,,contact,"Après le succès de la seconde édition, la Playlist de Tonton est de retour pour une soirée à la hauteur de vos espérances. Tonton a vu plus grand, plus fou ! Il vous donne rendez-vous le 27 septembre au WEX de Marche-en-Famenne pour un évènement que vous n'êtes pas prêts d'oublier. Au programme : une playlist composée des titres préférés de Tonton et des surprises préparées par les animateurs de Radio Contact pour faire la fête jusqu'au bout de la nuit ! ",,radio-contact,,,,,,,,,,,,,,,
bel RTL matin,Du lundi au vendredi de 7h à 8h30,"Sandrine Dans,Thomas de Bergeyck",bel,"Dès 7h, bel RTL matin avec Sandrine Dans et Thomas de Bergeyck c’est le parfait cocktail d’infos, d’humeur et d’humour pour démarrer la journée du bon pied ! Retrouvez tous les ¼ d’heure le point sur l’actu régionale, nationale et internationale, mais aussi les rendez-vous interactifs de la rédaction « RTL info répond à vos questions » et « Ça vous parle », sans oublier les incontournables « Signé Giltay » et « L’invité de 7h50 » de Martin Buxant. A 8h15 André Lamy et Olivier Leborgne revisitent l’actu dans leur légendaire « Votez pour moi » avant de retrouver « La valise bel RTL ». ",belrtlmatin,bel-rtl,,,,,,,,,,,,,,,
Ils sont dans le journal,Du lundi au jeudi de 8h30 à 9h,Benjamin Maréchal,bel,Benjamin Maréchal rebondit sur l’actualité et creuse l’info avec les intervenants en prise directe avec LE sujet qui fait l’actu du jour. ,journal1,bel-rtl,,,,,,,,,,,,,,,
Ils mériteraient d'être dans le journal,Du lundi au jeudi de 9h à 10h,Benjamin Maréchal,bel,Benjamin Maréchal reçoit celles et ceux qui mériteraient d’être dans le journal. Des personnalités connues ou inconnues issues de tous les horizons qui méritent d’être dans la lumière. Leur point commun ? Une histoire à partager avec vous ! ,journal2,bel-rtl,,,,,,,,,,,,,,,
Vous êtes dans le journal,Du lundi au vendredi de 18h à 19h,"Thibaut Roland,Peggy Simono",bel,"Chaque soir à 18h, vous êtes dans le journal et vous êtes au cœur de l’info !  Vous partagez, en direct et en toute liberté, votre opinion sur les grands sujets d’actualité.  En studio, deux personnalités réagissent et partagent leur point de vue qui vous fera parfois douter ou changer d’avis.  De son côté, la rédaction apporte, au cœur de ces échanges, un complément d’info qui pourrait, lui aussi, tout faire basculer.  Au terme des discussions, c’est à vous et uniquement à vous que revient le dernier mot : à vous de nous dire si les échanges de point de vue vous ont fait changer d’avis … ou pas ! ",journal3,bel-rtl,,,,,,,,,,,,,,,
bel RTL vous régale,Le samedi de 9h à 10h30,Jean-Michel Zecca,bel,"bel RTL vous régale c’est votre gourmandise du samedi matin !  L’émission qui vous met l’eau à la bouche et vous donne envie de partir à la rencontre des producteurs à côté de chez vous, de découvrir la cuisine de nos restaurateurs et de tester les recettes que l’on vous partage.  Retrouvez toutes les tendances culinaires dans votre balade gourmande du samedi matin sur bel RTL. ",jmz,bel-rtl,,,,,,,,,,,,,,,
La valise bel RTL,"Du lundi au vendredi à 8h25, 10h25 et 12h25",,bel,"La valise fait son retour sur bel RTL ! Découvrez le code secret qui permet d’ouvrir la valise bel RTL et remportez l’argent cash qu’elle contient !  Tentez votre chance en direct, en donnant un code secret à 4 chiffres à l’antenne.  Si le code est le bon, vous repartez avec tout le contenu de la valise ! Dans le cas contraire, on remet le montant de la valise en jeu en y ajoutant automatiquement de l’argent !  Le premier qui trouve le code secret, remporte l’intégralité du montant cash contenu dans la valise bel RTL !  

Les rendez-vous de la valise bel RTL sont programmés du lundi au vendredi à 8h25, 10h25 et 12h25 ! ",valise,bel-rtl,,,,,,,,,,,,,,,
La vérité si je mens,Le vendredi de 8h30 à 11h,Bérénice,bel,"Bérénice reçoit une personnalité ou un anonyme qui lui raconte les anecdotes les plus folles, les histoires les plus surprenantes qui lui sont arrivées... ou pas.  Mensonge ou vérité ?  C’est à vous de le déterminer !  L’humour, la mauvaise foi et les surprises ont rendez-vous chaque vendredi matin sur bel RTL. ",berenice,bel-rtl,,,,,,,,,,,,,,,
Harry Potter : Visions of Magic,jusqu'au 3 novembre 2024 à Tour & Taxis,,,,harrypotter,events,,,,,,,,,,,,,,,
Festifood RTL Mons,Du 6 septembre au 8 septembre,,,,festifood,events,,,,,,,,,,,,,,,
Festifgrill,Du 13 septembre au 15 septembre à Mons,,,,festigrill,events,,,,,,,,,,,,,,,
Jonas Brother,Le 1er octobre au Sportpaleis d'Anvers,,,,jonasbrother,events,,,,,,,,,,,,,,,
Foire d'octobre de Liège,Du 5 octobre au 10 novembre,,,,foire-liege,events,,,,,,,,,,,,,,,
Gims,Les 23 et 24 novembre à Forest National,,,,gims,events,,,,,,,,,,,,,,,
La Fabrique à Jouet,Du 10 octobre au 12 janvier à Fleurus,,,,,events,,,,,,,,,,,,,,,
Festival du Cirque de Namur,Du 26 octobre au 3 novembre à la Citadelle de Namur,,,,namur,events,,,,,,,,,,,,,,,
Stars 80,Les 6 et 7 décembre à Forest National,,,,stars80,events,,,,,,,,,,,,,,,
Calogero,Les 12 et 13 décembre à Forest National,,,,calogero,events,,,,,,,,,,,,,,,
Lanterna Magica,Du 22 noevembre au 5 janvier dans le parc du Château de La Hulpe,,,,lm24,events,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
J comme Jacques,,Jacques van den Biggelaar,"tvi,play","À l'occasion de ses 40 ans sur RTL tvi et après 30 ans à la tête du magazine “I Comme”, Jacques van den Biggelaar prendra une retraite bien méritée. Pour célébrer cette carrière exceptionnelle, ""J. Comme Jacques"" vous propose une émission événementielle retraçant la vie et la carrière de l’un des animateurs les plus aimés des Belges francophones. Accompagné de ses amis Ludo Daxhelet, Sandrine Dans, Sandrine Corman, Sophie Pendeville & Sabrina Jacobs, Jacques revient sur les moments marquants de sa carrière et relève les derniers défis proposés par ses anciens collègues. ",jacques,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
